Format version,Period,User ID
1,01-01-2025..30-12-2025,c0675SB56ge2DX7aKURP4Ai4JnA3

###

Date,Payment,Is paid,Amount,Currency,Account,Category,Subcategory,Goal,Description
01-01-2025,Compra de poder computacional en la app BTC Mining,true,-219,MXN,Google Play ,Inversión,Bitcoin Mining,,
02-01-2025,Pago de Bitcoin Mining ,true,1.72,MXN,Wallet Muun,Inversión,Bitcoin Mining,,
03-01-2025,Transferencia a Cwallet  (Out),true,-252.50,MXN,NCwallet ,Transferencia,,,
03-01-2025,Transferencia a Cwallet  (In),true,252.50,MXN,Cwallet ,Transferencia,,,
03-01-2025,Compra en CT Pool,true,-247.36,MXN,Cwallet ,Inversión,CryptoTab Pool,,
03-01-2025,Pago de ecosistema CryptoTab ,true,16.24,MXN,NCwallet ,Inversión,CryptoTab Browser,,
09-01-2025,Por responder encuesta de Google ,true,4.46,MXN,Google Play ,Recompensas,,,
09-01-2025,Pago CT Pool ,true,38.02,MXN,NCwallet ,Inversión,CryptoTab Pool,,
10-01-2025,Por responder encuesta de Google ,true,1,MXN,Google Play ,Recompensas,,,
10-01-2025,Pago CryptoTab Browser,true,19.67,MXN,NCwallet ,Inversión,CryptoTab Browser,,
12-01-2025,Compra de aplicación | Escuela,true,-29,MXN,Google Play ,Play Store,Compras,,
12-01-2025,Canjeó de puntos por saldo,true,20,MXN,Google Play ,Recompensas,,,
12-01-2025,Pago de ecosistema ROBOX,true,4.14,MXN,NCwallet ,Inversión,ROBOX,,
13-01-2025,Transferencia a Google Play  (In),true,200,MXN,Google Play ,Transferencia,,,
13-01-2025,Transferencia a Google Play  (Out),true,-200,MXN,Monedero físico ,Transferencia,,,
13-01-2025,Compra de Hashrate en app de minería ,true,-129,MXN,Google Play ,Inversión,,,
13-01-2025,Semanal,true,200,MXN,Monedero físico ,Salario,,,
13-01-2025,Compra de Hashrate en app de minería,true,-69,MXN,Google Play ,Inversión,,,
13-01-2025,Pago de Bitcoin Mining ,true,13.59,MXN,Wallet Muun,Inversión,Bitcoin Mining,,
14-01-2025,Renovación de suscripción en CryptoTab,true,-109.65,MXN,Google Play ,Inversión,CryptoTab browser ,,
15-01-2025,Transferencia a Cwallet  (In),true,35.69,MXN,Cwallet ,Transferencia,,,
15-01-2025,Transferencia a Cwallet  (Out),true,-35.69,MXN,Wallet Muun,Transferencia,,,
16-01-2025,Pago CryptoTab Pool,true,41.63,MXN,NCwallet ,Inversión,CryptoTab Pool,,
17-01-2025,Pago CryptoTab Browser,true,21.71,MXN,NCwallet ,Inversión,CryptoTab Browser,,
19-01-2025,Renovación de suscripción a Todoist,true,-65,MXN,Google Play ,Play Store,Suscripciones,,
20-01-2025,Semanal ,true,200,MXN,Monedero físico ,Salario,,,
21-01-2025,Transferencia a Google Play  (Out),true,-200,MXN,Monedero físico ,Transferencia,,,
21-01-2025,Transferencia a RedotPay (Out),true,-200,MXN,Cwallet ,Transferencia,,,
21-01-2025,Transferencia a Google Play  (In),true,200,MXN,Google Play ,Transferencia,,,
21-01-2025,Transferencia a Cwallet  (Out),true,-182.62,MXN,NCwallet ,Transferencia,,,
21-01-2025,Bono por crear cuenta ,true,100,MXN,RedotPay,Recompensas,,,
21-01-2025,Transferencia a RedotPay (In),true,200,MXN,RedotPay,Transferencia,,,
21-01-2025,Transferencia a Cwallet  (In),true,182.62,MXN,Cwallet ,Transferencia,,,
21-01-2025,Compra de tarjeta Crypto ,true,-200,MXN,RedotPay,Inversión,,,
21-01-2025,Pago CryptoTab Pool ,true,34.83,MXN,NCwallet ,Inversión,CryptoTab Pool,,
21-01-2025,Pago CryptoTab Browser,true,13.06,MXN,NCwallet ,Inversión,CryptoTab Browser,,
22-01-2025,Compra de 450 créditos en Exaroton,true,-97.88,MXN,RedotPay,CMD,,,
22-01-2025,Compra de Boost X5 en ROBOX ,true,-75,MXN,Google Play ,Inversión,ROBOX,,
22-01-2025,Compra de Boost X10 en ROBOX,true,-149,MXN,Google Play ,Inversión,ROBOX,,
22-01-2025,Pago de ecosistema ROBOX,true,4.09,MXN,NCwallet ,Inversión,ROBOX,,
23-01-2025,Para la compra de cuadernos,true,200,MXN,Monedero físico ,Salario,,,
23-01-2025,Compra de 3 cuadernos,true,-111,MXN,Monedero físico ,Educación,,,
23-01-2025,Comida,true,-10,MXN,Monedero físico ,Comida,,,
24-01-2025,Para la compra de libros ,true,700,MXN,Monedero físico ,Salario,,,
24-01-2025,Compra de algunos libros,true,-460,MXN,Monedero físico ,Educación,,,
24-01-2025,Comida,true,-15,MXN,Monedero físico ,Comida,,,
25-01-2025,Pago de Bitcoin Mining ,true,10.51,MXN,Wallet Muun,Inversión,Bitcoin Mining,,
26-01-2025,Pago de ecosistema ROBOX ,true,16.42,MXN,NCwallet ,Inversión,ROBOX,,
27-01-2025,Para la compra de libros ,true,200,MXN,Monedero físico ,Salario,,,
27-01-2025,Semanal ,true,200,MXN,Monedero físico ,Salario,,,
27-01-2025,Compra de licencia permanente para esta app,true,-139,MXN,Google Play ,Play Store,Compras,,
27-01-2025,Transferencia a Google Play  (Out),true,-200,MXN,Monedero físico ,Transferencia,,,
27-01-2025,Transferencia a Google Play  (In),true,200,MXN,Google Play ,Transferencia,,,
27-01-2025,Renovación de suscripción trimestral CT Max,true,-42,MXN,Google Play ,Inversión,CryptoTab browser ,,
28-01-2025,Compra de cinta plateada,true,-29,MXN,Monedero físico ,Educación,,,
29-01-2025,Compra de un libro ,true,-130,MXN,Monedero físico ,Educación,,,
29-01-2025,Compra de folder,true,-25,MXN,Monedero físico ,Educación,,,
29-01-2025,Pago CryptoTab Pool,true,41.96,MXN,NCwallet ,Inversión,CryptoTab Pool,,
29-01-2025,Pago CryptoTab Browser,true,20.98,MXN,NCwallet ,Inversión,CryptoTab Browser,,
29-01-2025,Pago de ROBOX Fit ,true,2.06,MXN,NCwallet ,Inversión,ROBOX,,
30-01-2025,Transferencia a Cuenta personal  (Out),true,-200,MXN,Monedero físico ,Transferencia,,,
